"","Product","Sub.issue","Company"
"11953","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"11990","Student loan","Need information about my balance/terms","Sallie Mae"
"11992","Student loan","Repaying your loan","Navient Solutions, Inc."
"12031","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"12050","Student loan","Problems when you are unable to pay","Performant Financial Corporation"
"12113","Student loan","Having problems with customer service","ECMC Group, Inc."
"12138","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"12140","Student loan","Repaying your loan","Navient Solutions, Inc."
"12198","Student loan","Repaying your loan","Expert Global Solutions, Inc."
"12217","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"12261","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"12316","Student loan","Having problems with customer service","ACS Education Services"
"12338","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"12355","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"12423","Student loan","Don't agree with fees charged","Discover"
"12468","Student loan","Can't decrease my monthly payments","U.S. Bancorp"
"12497","Student loan","Can't decrease my monthly payments","Discover"
"12561","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"12571","Student loan","Repaying your loan","Navient Solutions, Inc."
"12574","Student loan","Repaying your loan","Discover"
"12613","Student loan","Repaying your loan","AES/PHEAA"
"12643","Student loan","Repaying your loan","Navient Solutions, Inc."
"12656","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"12691","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"12722","Student loan","Repaying your loan","Navient Solutions, Inc."
"12780","Student loan","Repaying your loan","Sallie Mae"
"12792","Student loan","Repaying your loan","Navient Solutions, Inc."
"12822","Student loan","Repaying your loan","AES/PHEAA"
"12858","Student loan","Having problems with customer service","Navient Solutions, Inc."
"12881","Student loan","Can't get flexible payment options","First Associates Loan Servicing LLC"
"12886","Student loan","Repaying your loan","Navient Solutions, Inc."
"12928","Student loan","Repaying your loan","Student Loan Finance Corporation"
